,station_name,station_name_eng,station_address,station_longitude,station_latitude,station_type,geometry
73,สกลนคร,Sakhon Nakhon,ภูพาน ต.ห้วยยาง อ.เมือง จ.สกลนคร,103.98751999999999,17.13805,M,POINT (103.98752 17.13805)
74,นครพนม,Nakhon Phanom,135 หมู่ที่ 10 บ้านหนองบัว ต.หนองญาติ อ.เมือง จ.นครพนม ,104.770131,17.374367000000003,A1,POINT (104.770131 17.374367)
75,บ้านแพง,Ban Phaeng,หมู่ที่ 11 ต.บ้านแพง อ.บ้านแพง จ.นครพนม ,104.227242,17.947719,A3,POINT (104.227242 17.947719)
76,เชียงใหม่,Chiang Mai,ดอยสุเทพ ต.สุเทพ อ.เมือง จ.เชียงใหม่,98.91502,18.808139999999998,M,POINT (98.91502 18.80814)
77,ไชยปราการ,Chai Prakan,ดอยผาหงษ์ ต.ศรีดงเย็น   อ.ไชยปราการ จ.เชียงใหม่ ,99.14483,19.62848,A1,POINT (99.14483 19.62848)
78,เชียงดาว(เขาห้วยหินฝน),Chiang Dao,เขาห้วยหินฝน อ.เชียงดาว  จ.เชียงใหม่,98.951143,19.250543,A1,POINT (98.951143 19.250543)
79,พร้าว,Phrao,ถ.หมายเลข 1150 ต.เวียง อ.พร้าว จ.เชียงใหม่,99.200397,19.346154000000002,A2,POINT (99.200397 19.346154)
80,ลี้ ,Li,ถ.หมายเลข 106 ต.ลี้ อ.ลี้ จ.ลำพูน,98.95633199999999,17.779373,A2,POINT (98.95633199999999 17.779373)
81,ดอยเต่า,Doi Tao,ต.ท่าเดื่อ  อ.ดอยเต่า  จ.เชียงใหม่,98.7158,17.93583,A2,POINT (98.7158 17.93583)
82,เวียงแหง,Wiang Haeng,ดอยเลาวู ต.เมืองแหง อ.เวียงแหง จ.เชียงใหม่,98.72400999999999,19.521279999999997,A2,POINT (98.72400999999999 19.52128)
83,แม่แจ่ม,Mae Chaem,ต.ช่างเคิ่ง อ.แม่แจ่ม จ.เชียงใหม่ ,98.36475,18.496925,A3,POINT (98.36475 18.496925)
84,สะเมิง,Samoeng,ต.สะเมิงใต้ อ.สะเมิง จ.เชียงใหม่,98.73664000000001,18.85001,A3,POINT (98.73664000000001 18.85001)
85,แม่อาย,Mae Ai,ถ.บ้านสันโค้ง ต.แม่อาย อ.แม่อาย จ.เชียงใหม่,99.342276,20.024309,A3,POINT (99.342276 20.024309)
86,แม่ฮ่องสอน1,Mae Hong Son1,ดอยกองมู ต.จองคำ อ.เมือง จ.แม่ฮ่องสอน,97.95795,19.29755,M,POINT (97.95795 19.29755)
